,date_only,Price
164,2023-06-22,18.68436404494382
165,2023-06-23,18.552000941619585
166,2023-06-24,18.400295454545454
167,2023-06-25,18.392102127659577
168,2023-06-26,18.42793960058451
169,2023-06-27,18.26065527065527
170,2023-06-28,18.01404611379695
171,2023-06-29,17.920715005035245
172,2023-06-30,17.853774925962487
173,2023-07-04,19.563249258160237
174,2023-07-05,19.097628571428572
175,2023-07-06,20.154099147121535
176,2023-07-07,17.623423913043478
177,2023-07-08,20.198754237288135
178,2023-07-09,21.62031484962406
179,2023-07-10,23.20709649122807
180,2023-07-11,19.938263386396528
181,2023-07-12,20.300125423728815
182,2023-07-13,19.078030707610147
183,2023-07-14,19.573191489361704
184,2023-07-15,20.086915887850466
185,2023-07-16,19.620789022298457
186,2023-07-17,19.546279744631455
